Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -9,4.67,205.11,8305920,958872,11.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zlib 1.3.1 -1,164.53,612.55,8305920,1516429,18.26,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zlib 1.3.1 -3,118.08,675.88,8305920,1490199,17.94,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zlib 1.3.1 -5,70.96,456.00,8305920,1442542,17.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zlib 1.3.1 -7,26.04,457.41,8305920,1434206,17.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zlib 1.3.1 -9,3.23,458.25,8305920,1432672,17.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/5
zstd 1.5.7 -1,576.61,1375.16,8305920,1362039,16.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -3,379.04,1316.18,8305920,1410531,16.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -5,247.08,1361.56,8305920,1381437,16.63,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -7,111.04,1347.33,8305920,1349332,16.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -9,80.66,1350.84,8305920,1259996,15.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -11,38.16,1405.04,8305920,1274537,15.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -13,22.54,1586.85,8305920,1269555,15.28,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -15,12.88,2261.36,8305920,1238474,14.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -16,9.15,1685.86,8305920,1275671,15.36,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
zstd 1.5.7 -19,5.75,1430.60,8305920,1127421,13.57,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
xz 5.8.1 -1,37.94,202.24,8305920,1115216,13.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
xz 5.8.1 -3,19.18,211.16,8305920,1117004,13.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
xz 5.8.1 -5,4.95,228.71,8305920,963756,11.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
xz 5.8.1 -7,4.71,226.40,8305920,961012,11.57,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/6
