Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -9,4.81,474.06,633117397,131876443,20.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/30
zstd 1.5.7 -1,391.04,1204.92,328629008,72771203,22.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -3,287.71,1097.11,328629008,72581460,22.09,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -5,141.56,1076.69,328629008,70862627,21.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -7,76.06,1290.41,328629008,65159020,19.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -9,55.56,1352.86,328629008,63714868,19.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -11,26.24,1446.80,328629008,60391268,18.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -13,10.94,1465.72,328629008,59221199,18.02,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -15,4.74,1609.71,328629008,56018896,17.05,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -16,4.58,1614.01,328629008,54332313,16.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zstd 1.5.7 -19,1.79,1557.77,328629008,51037527,15.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
xz 5.8.1 -1,26.38,142.32,328629008,68426848,20.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
xz 5.8.1 -3,10.54,170.23,328629008,64055132,19.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
xz 5.8.1 -5,2.93,198.12,328629008,53055740,16.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
xz 5.8.1 -7,2.08,201.76,328629008,50137776,15.26,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
xz 5.8.1 -9,1.67,173.71,328629008,49040692,14.92,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zlib 1.3.1 -1,113.18,384.87,328629008,94709121,28.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zlib 1.3.1 -3,57.91,455.80,328629008,83549823,25.42,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
zlib 1.3.1 -5,34.25,425.43,328629008,75440569,22.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/31
