Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -1,42.06,209.38,8305920,970744,11.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
xz 5.8.1 -3,18.89,246.51,8305920,933008,11.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
xz 5.8.1 -5,4.37,299.33,8305920,816972,9.84,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
xz 5.8.1 -7,3.40,312.25,8305920,791120,9.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
xz 5.8.1 -9,3.35,270.12,8305920,791120,9.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zlib 1.3.1 -1,182.82,645.32,8305920,1464901,17.64,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zlib 1.3.1 -3,112.51,782.20,8305920,1317740,15.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zlib 1.3.1 -5,77.53,600.96,8305920,1233586,14.85,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zlib 1.3.1 -7,34.06,618.51,8305920,1191113,14.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zlib 1.3.1 -9,4.08,657.61,8305920,1162925,14.00,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/6
zstd 1.5.7 -1,518.44,1099.76,8305920,1300696,15.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -3,459.13,1094.67,8305920,1297370,15.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -5,205.17,1094.03,8305920,1253683,15.09,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -7,101.53,1308.29,8305920,1184718,14.26,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -9,75.58,1268.43,8305920,1152846,13.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -11,35.47,1574.13,8305920,1092836,13.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -13,22.44,1951.06,8305920,1034456,12.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -15,10.56,2450.20,8305920,959934,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -16,7.20,2382.75,8305920,951934,11.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -19,3.52,2377.86,8305920,909394,10.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
xz 5.8.1 -1,42.94,212.44,8305920,949292,11.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
xz 5.8.1 -3,19.56,250.15,8305920,910796,10.97,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
xz 5.8.1 -5,4.53,302.33,8305920,797684,9.60,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
xz 5.8.1 -7,3.44,312.98,8305920,769668,9.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
xz 5.8.1 -9,3.43,269.96,8305920,769668,9.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zlib 1.3.1 -1,182.73,657.16,8305920,1432210,17.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zlib 1.3.1 -3,113.74,773.74,8305920,1288730,15.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zlib 1.3.1 -5,77.36,598.73,8305920,1205016,14.51,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zlib 1.3.1 -7,34.62,616.70,8305920,1163793,14.01,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zlib 1.3.1 -9,4.22,665.36,8305920,1134956,13.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/7
zstd 1.5.7 -1,543.18,1152.53,8305920,1189357,14.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -3,489.62,1116.92,8305920,1172351,14.11,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -5,216.89,1124.32,8305920,1126075,13.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -7,107.35,1410.39,8305920,1056500,12.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -9,80.72,1370.88,8305920,1038124,12.50,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -11,38.83,1708.95,8305920,973675,11.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -13,24.72,2067.07,8305920,918351,11.06,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -15,11.23,2645.22,8305920,847232,10.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -16,7.44,2531.82,8305920,847817,10.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
zstd 1.5.7 -19,3.64,2541.46,8305920,799104,9.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
xz 5.8.1 -1,47.45,229.47,8305920,846908,10.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
xz 5.8.1 -3,22.16,277.67,8305920,807400,9.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
xz 5.8.1 -5,4.93,334.92,8305920,712324,8.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/8
